cat,prompt,tool_ok,args_ok,called,detail,sec,think_tok,total_tok
A,What's the weather in Osaka right now?,1,1,get_weather,,9.2,0,70
A,Send an email to bob@example.com with th,1,1,send_email,,4.7,0,97
A,How much is Apple stock trading at?,1,1,get_stock_price,,3.0,0,56
A,Read the file /etc/hostname for me.,1,1,read_file,,3.2,0,60
A,Convert 250 US dollars to Japanese yen.,1,1,convert_currency,,4.1,0,82
A,Query the analytics database for the tot,1,1,run_sql,,4.9,0,100
A,Book a meeting called Design Review on 2,1,1,create_calendar_event,,6.3,0,131
A,What will the weather in Berlin be like ,1,1,get_forecast,,3.8,0,74
B,Look up what our internal onboarding doc,1,1,search_docs,,3.2,0,59
B,Search the public internet for reviews o,1,1,search_web,,3.5,0,68
B,I need the forecast for Kyoto for the ne,1,1,get_forecast,,3.9,0,76
B,Is it raining in Kyoto at the moment?,1,1,get_weather,,3.1,0,57
B,Find the company policy document about e,1,1,search_docs,,3.4,0,65
B,What is the current temperature in Reykj,1,1,get_weather,,4.1,0,82
C,Convert 1499.99 euros into Swiss francs.,1,1,convert_currency,,4.4,0,89
C,Put 'Quarterly Planning' on the calendar,1,1,create_calendar_event,,7.9,0,169
C,Give me the weather for Sao Paulo in cel,1,1,get_weather,,3.4,0,64
C,Get me a 10 day outlook for Nairobi.,1,1,get_forecast,,4.0,0,79
C,What is the share price of ticker MSFT?,1,1,get_stock_price,,3.1,0,58
C,Search the web for gfx906 vulkan benchma,1,1,search_web,,4.0,0,79
D,Explain in one sentence what a roofline ,1,1,-,,6.1,0,129
D,What is 17 multiplied by 23?,1,1,-,,3.9,0,75
D,"Thanks, that was helpful.",1,1,-,,3.1,0,57
D,Which is generally faster for matrix mul,1,1,-,,22.2,0,512
