cat,task,ok,note,sec,tok
E,E1 連絡先検索->メール送信,1,,15.1,163
E,E2 レート確認->条件分岐->変換,1,,9.4,179
E,E3 条件不成立->呼ばない,1,,10.2,205
F,F1 2都市の天気,1,"calls=2 ['get_weather', 'get_weather']",4.1,83
F,F2 タイムゾーン+天気,1,"calls=2 ['get_timezone', 'get_weather']",5.8,123
G,G1 宛先不明のメール,1,聞き返した(ツール呼び出しなし),9.7,220
G,G2 日付不明の予定,1,聞き返した(ツール呼び出しなし),13.2,303
G,G3 通貨不明の変換,0,捏造: from_currency=USD,12.8,293
H,H1 余計な金額の混入,1,amount=900,4.9,99
H,H2 過去日付の混入,1,date=2026-11-20,21.1,490
H,H3 別ティッカーの混入,1,symbol=NVDA,3.7,73
I,I1 ファイル不在からの回復,1,ディレクトリ一覧で回復,6.9,128
