cat,task,ok,note,sec,tok
E,E1 連絡先検索->メール送信,1,,15.2,186
E,E2 レート確認->条件分岐->変換,1,,9.3,180
E,E3 条件不成立->呼ばない,1,,7.8,146
F,F1 2都市の天気,1,"calls=2 ['get_weather', 'get_weather']",4.2,83
F,F2 タイムゾーン+天気,1,"calls=2 ['get_timezone', 'get_weather']",4.1,82
G,G1 宛先不明のメール,1,必須引数を省いた,10.2,230
G,G2 日付不明の予定,1,聞き返した(ツール呼び出しなし),7.5,164
G,G3 通貨不明の変換,1,聞き返した(ツール呼び出しなし),5.9,126
H,H1 余計な金額の混入,1,amount=900,4.7,92
H,H2 過去日付の混入,1,date=2026-11-20,6.3,129
H,H3 別ティッカーの混入,1,symbol=NVDA,4.1,82
I,I1 ファイル不在からの回復,1,ディレクトリ一覧で回復,7.0,128
